Taxid	Sci.Name	Rank	Named Lineage	Taxid Lineage
98959	Coptodisca	genus	root,cellular organisms,Eukaryota,Opisthokonta,Metazoa,Eumetazoa,Bilateria,Protostomia,Ecdysozoa,Panarthropoda,Arthropoda,Mandibulata,Pancrustacea,Hexapoda,Insecta,Dicondylia,Pterygota,Neoptera,Endopterygota,Amphiesmenoptera,Lepidoptera,Glossata,Neolepidoptera,Heteroneura,Incurvarioidea,Heliozelidae,Coptodisca	1,131567,2759,33154,33208,6072,33213,33317,1206794,88770,6656,197563,197562,6960,50557,85512,7496,33340,33392,85604,7088,41191,41196,41197,37584,98953,98959
98983	Pseudopostega	genus	root,cellular organisms,Eukaryota,Opisthokonta,Metazoa,Eumetazoa,Bilateria,Protostomia,Ecdysozoa,Panarthropoda,Arthropoda,Mandibulata,Pancrustacea,Hexapoda,Insecta,Dicondylia,Pterygota,Neoptera,Endopterygota,Amphiesmenoptera,Lepidoptera,Glossata,Neolepidoptera,Heteroneura,Nepticuloidea,Opostegidae,Pseudopostega	1,131567,2759,33154,33208,6072,33213,33317,1206794,88770,6656,197563,197562,6960,50557,85512,7496,33340,33392,85604,7088,41191,41196,41197,41015,98982,98983
99225	Macrocheles	genus	root,cellular organisms,Eukaryota,Opisthokonta,Metazoa,Eumetazoa,Bilateria,Protostomia,Ecdysozoa,Panarthropoda,Arthropoda,Chelicerata,Arachnida,Acari,Parasitiformes,Mesostigmata,Monogynaspida,Gamasina,Eviphidoidea,Macrochelidae,Macrocheles	1,131567,2759,33154,33208,6072,33213,33317,1206794,88770,6656,6843,6854,6933,6934,34634,281668,1723665,99223,99224,99225
99291	Hovenia	genus	root,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,fabids,Rosales,Rhamnaceae,Paliureae,Hovenia	1,131567,2759,33090,35493,131221,3193,58023,78536,58024,3398,1437183,71240,91827,1437201,71275,91835,3744,3608,325284,99291
99299	Rehmannia	genus	root,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,asterids,lamiids,Lamiales,Orobanchaceae,Orobanchaceae incertae sedis,Rehmannia	1,131567,2759,33090,35493,131221,3193,58023,78536,58024,3398,1437183,71240,91827,1437201,71274,91888,4143,91896,216775,99299
99390	Maja	genus	root,cellular organisms,Eukaryota,Opisthokonta,Metazoa,Eumetazoa,Bilateria,Protostomia,Ecdysozoa,Panarthropoda,Arthropoda,Mandibulata,Pancrustacea,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Brachyura,Eubrachyura,Heterotremata,Majoidea,Majidae,Maja	1,131567,2759,33154,33208,6072,33213,33317,1206794,88770,6656,197563,197562,6657,2172821,6681,72041,6682,6683,6692,6752,116704,116706,6804,6805,99390
99434	Combretum	genus	root,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,malvids,Myrtales,Combretaceae,Combretum	1,131567,2759,33090,35493,131221,3193,58023,78536,58024,3398,1437183,71240,91827,1437201,71275,91836,41944,3954,99434
99479	Tetrasphaera	genus	root,cellular organisms,Bacteria,Terrabacteria group,Actinobacteria,Actinomycetia,Micrococcales,Intrasporangiaceae,Tetrasphaera	1,131567,2,1783272,201174,1760,85006,85021,99479
99568	Curcuma	genus	root,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,Liliopsida,Petrosaviidae,commelinids,Zingiberales,Zingiberaceae,Curcuma	1,131567,2759,33090,35493,131221,3193,58023,78536,58024,3398,1437183,4447,1437197,4734,4618,4642,99568
99657	Xanthoceras	genus	root,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,malvids,Sapindales,Sapindaceae,Xanthoceroideae,Xanthoceras	1,131567,2759,33090,35493,131221,3193,58023,78536,58024,3398,1437183,71240,91827,1437201,71275,91836,41937,23672,1977915,99657
99756	Engaeus	genus	root,cellular organisms,Eukaryota,Opisthokonta,Metazoa,Eumetazoa,Bilateria,Protostomia,Ecdysozoa,Panarthropoda,Arthropoda,Mandibulata,Pancrustacea,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Astacidea,Parastacoidea,Parastacidae,Engaeus	1,131567,2759,33154,33208,6072,33213,33317,1206794,88770,6656,197563,197562,6657,2172821,6681,72041,6682,6683,6692,6712,29961,37850,99756
99768	Geocharax	genus	root,cellular organisms,Eukaryota,Opisthokonta,Metazoa,Eumetazoa,Bilateria,Protostomia,Ecdysozoa,Panarthropoda,Arthropoda,Mandibulata,Pancrustacea,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Astacidea,Parastacoidea,Parastacidae,Geocharax	1,131567,2759,33154,33208,6072,33213,33317,1206794,88770,6656,197563,197562,6657,2172821,6681,72041,6682,6683,6692,6712,29961,37850,99768
99771	Gramastacus	genus	root,cellular organisms,Eukaryota,Opisthokonta,Metazoa,Eumetazoa,Bilateria,Protostomia,Ecdysozoa,Panarthropoda,Arthropoda,Mandibulata,Pancrustacea,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Astacidea,Parastacoidea,Parastacidae,Gramastacus	1,131567,2759,33154,33208,6072,33213,33317,1206794,88770,6656,197563,197562,6657,2172821,6681,72041,6682,6683,6692,6712,29961,37850,99771
99778	Tenuibranchiurus	genus	root,cellular organisms,Eukaryota,Opisthokonta,Metazoa,Eumetazoa,Bilateria,Protostomia,Ecdysozoa,Panarthropoda,Arthropoda,Mandibulata,Pancrustacea,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Astacidea,Parastacoidea,Parastacidae,Tenuibranchiurus	1,131567,2759,33154,33208,6072,33213,33317,1206794,88770,6656,197563,197562,6657,2172821,6681,72041,6682,6683,6692,6712,29961,37850,99778
99898	Osmundea	genus	root,cellular organisms,Eukaryota,Rhodophyta,Florideophyceae,Rhodymeniophycidae,Ceramiales,Rhodomelaceae,Laurencieae,Osmundea	1,131567,2759,2763,2806,2045261,2802,2803,2008388,99898
99900	Laurencia	genus	root,cellular organisms,Eukaryota,Rhodophyta,Florideophyceae,Rhodymeniophycidae,Ceramiales,Rhodomelaceae,Laurencieae,Laurencia	1,131567,2759,2763,2806,2045261,2802,2803,2008388,99900
100010	Leptospora	genus	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,dothideomyceta,Dothideomycetes,Dothideomycetes incertae sedis,Leptospora	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715962,147541,159987,100010
100048	Trematosphaeria	genus	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,dothideomyceta,Dothideomycetes,Pleosporomycetidae,Pleosporales,Massarineae,Trematosphaeriaceae,Trematosphaeria	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715962,147541,451868,92860,1255046,1208339,100048
100370	Croton	genus	root,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,fabids,Malpighiales,Euphorbiaceae,Crotonoideae,Crotoneae,Croton	1,131567,2759,33090,35493,131221,3193,58023,78536,58024,3398,1437183,71240,91827,1437201,71275,91835,3646,3977,235631,235891,100370
100451	Candidula	genus	root,cellular organisms,Eukaryota,Opisthokonta,Metazoa,Eumetazoa,Bilateria,Protostomia,Spiralia,Lophotrochozoa,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Panpulmonata,Eupulmonata,Stylommatophora,Helicina,Helicoidea,Geomitridae,Candidula	1,131567,2759,33154,33208,6072,33213,33317,2697495,1206795,6447,6448,216305,216307,977775,120490,6527,216366,87862,1920660,100451
100474	Batrachochytrium	genus	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Fungi incertae sedis,Chytridiomycota,Chytridiomycota incertae sedis,Chytridiomycetes,Rhizophydiales,Rhizophydiales incertae sedis,Batrachochytrium	1,131567,2759,33154,4751,112252,4761,2683659,451435,451442,1142503,100474
100712	Downingia	genus	root,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,asterids,campanulids,Asterales,Campanulaceae,Downingia	1,131567,2759,33090,35493,131221,3193,58023,78536,58024,3398,1437183,71240,91827,1437201,71274,91882,4209,4381,100712
100715	Chloroherpeton	genus	root,cellular organisms,Bacteria,FCB group,Bacteroidetes/Chlorobi group,Chlorobi,Chlorobia,Chlorobiales,Chlorobiaceae,Chloroherpeton	1,131567,2,1783270,68336,1090,191410,191411,191412,100715
100781	Euxinia	genus	root,cellular organisms,Eukaryota,Opisthokonta,Metazoa,Eumetazoa,Bilateria,Protostomia,Spiralia,Lophotrochozoa,Platyhelminthes,Rhabditophora,Prolecithophora,Proporata,Pseudostomidae,Euxinia	1,131567,2759,33154,33208,6072,33213,33317,2697495,1206795,6157,147100,79788,166383,86118,100781
100860	Aphanomyces	genus	root,cellular organisms,Eukaryota,Sar,Stramenopiles,Oomycota,Saprolegniales,Saprolegniaceae,Aphanomyces	1,131567,2759,2698737,33634,4762,4763,4764,100860
100892	Oplophorus	genus	root,cellular organisms,Eukaryota,Opisthokonta,Metazoa,Eumetazoa,Bilateria,Protostomia,Ecdysozoa,Panarthropoda,Arthropoda,Mandibulata,Pancrustacea,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Oplophoroidea,Oplophoridae,Oplophorus	1,131567,2759,33154,33208,6072,33213,33317,1206794,88770,6656,197563,197562,6657,2172821,6681,72041,6682,6683,6692,6694,115573,100891,100892
100953	Atadenovirus	genus	root,Viruses,Varidnaviria,Bamfordvirae,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Atadenovirus	1,10239,2732004,2732005,2732008,2732529,2732559,10508,100953
101118	Syzygites	genus	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Fungi incertae sedis,Mucoromycota,Mucoromycotina,Mucoromycetes,Mucorales,Mucorineae,Rhizopodaceae,Syzygites	1,131567,2759,33154,4751,112252,1913637,451507,2212703,4827,1344963,1344955,101118
101191	Methanomethylovorans	genus	root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanomethylovorans	1,131567,2157,28890,2290931,224756,94695,2206,101191
101503	Pleuragramma	genus	root,cellular organisms,Eukaryota,Opisthokonta,Metazoa,Eumetazoa,Bilateria,Deuterostomia,Chordata,Craniata,Vertebrata,Gnathostomata,Teleostomi,Euteleostomi,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata,Acanthomorphata,Euacanthomorphacea,Percomorphaceae,Eupercaria,Perciformes,Notothenioidei,Nototheniidae,Pleuragramma	1,131567,2759,33154,33208,6072,33213,33511,7711,89593,7742,7776,117570,117571,7898,186623,41665,32443,1489341,186625,1489388,123365,123366,123367,123368,123369,1489872,1489922,8111,8205,8206,101503
101616	Musella	genus	root,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,Liliopsida,Petrosaviidae,commelinids,Zingiberales,Musaceae,Musella	1,131567,2759,33090,35493,131221,3193,58023,78536,58024,3398,1437183,4447,1437197,4734,4618,4637,101616
101716	Lambia	genus	root,cellular organisms,Eukaryota,Viridiplantae,Chlorophyta,Ulvophyceae,TCBD clade,Bryopsidales,Bryopsidineae,Bryopsidaceae,Lambia	1,131567,2759,33090,3041,33103,2546214,33104,2791029,3127,101716
101851	Glarea	genus	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Leotiomycetes,Helotiales,Helotiaceae,Glarea	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715989,147548,5178,5181,101851
101918	Chroodactylon	genus	root,cellular organisms,Eukaryota,Rhodophyta,Bangiophyceae,Porphyridiales,Porphyridiaceae,Chroodactylon	1,131567,2759,2763,2797,2798,2799,101918
102106	Collinsella	genus	root,cellular organisms,Bacteria,Terrabacteria group,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella	1,131567,2,1783272,201174,84998,84999,84107,102106
102115	Stanieria	genus	root,cellular organisms,Bacteria,Terrabacteria group,Cyanobacteria/Melainabacteria group,Cyanobacteria,Pleurocapsales,Dermocarpellaceae,Stanieria	1,131567,2,1783272,1798711,1117,52604,1890498,102115
102177	Anguis	genus	root,cellular organisms,Eukaryota,Opisthokonta,Metazoa,Eumetazoa,Bilateria,Deuterostomia,Chordata,Craniata,Vertebrata,Gnathostomata,Teleostomi,Euteleostomi,Sarcopterygii,Dipnotetrapodomorpha,Tetrapoda,Amniota,Sauropsida,Sauria,Lepidosauria,Squamata,Bifurcata,Unidentata,Episquamata,Toxicofera,Anguimorpha,Neoanguimorpha,Anguioidea,Anguidae,Anguis	1,131567,2759,33154,33208,6072,33213,33511,7711,89593,7742,7776,117570,117571,8287,1338369,32523,32524,8457,32561,8504,8509,1329961,1329950,1329912,1329911,8548,1330543,1329922,51964,102177
102210	Benincasa	genus	root,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,fabids,Cucurbitales,Cucurbitaceae,Benincaseae,Benincasa	1,131567,2759,33090,35493,131221,3193,58023,78536,58024,3398,1437183,71240,91827,1437201,71275,91835,71239,3650,1003877,102210
102231	Gloeocapsa	genus	root,cellular organisms,Bacteria,Terrabacteria group,Cyanobacteria/Melainabacteria group,Cyanobacteria,Oscillatoriophycideae,Chroococcales,Chroococcaceae,Gloeocapsa	1,131567,2,1783272,1798711,1117,1301283,1118,1890464,102231
102234	Cyanobacterium	genus	root,cellular organisms,Bacteria,Terrabacteria group,Cyanobacteria/Melainabacteria group,Cyanobacteria,Oscillatoriophycideae,Chroococcales,Geminocystaceae,Cyanobacterium	1,131567,2,1783272,1798711,1117,1301283,1118,2815910,102234
102245	Boulengerula	genus	root,cellular organisms,Eukaryota,Opisthokonta,Metazoa,Eumetazoa,Bilateria,Deuterostomia,Chordata,Craniata,Vertebrata,Gnathostomata,Teleostomi,Euteleostomi,Sarcopterygii,Dipnotetrapodomorpha,Tetrapoda,Amphibia,Gymnophiona,Herpelidae,Boulengerula	1,131567,2759,33154,33208,6072,33213,33511,7711,89593,7742,7776,117570,117571,8287,1338369,32523,8292,8445,1277736,102245
102330	Pinna	genus	root,cellular organisms,Eukaryota,Opisthokonta,Metazoa,Eumetazoa,Bilateria,Protostomia,Spiralia,Lophotrochozoa,Mollusca,Bivalvia,Autobranchia,Pteriomorphia,Pterioida,Pinnoidea,Pinnidae,Pinna	1,131567,2759,33154,33208,6072,33213,33317,2697495,1206795,6447,6544,2785011,6545,44598,102311,44599,102330
102745	Hieracium	genus	root,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,asterids,campanulids,Asterales,Asteraceae,Cichorioideae,Cichorieae,Hieraciinae,Hieracium	1,131567,2759,33090,35493,131221,3193,58023,78536,58024,3398,1437183,71240,91827,1437201,71274,91882,4209,4210,219120,219121,745087,102745
102749	Ageratina	genus	root,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,asterids,campanulids,Asterales,Asteraceae,Asteroideae,Heliantheae alliance,Eupatorieae,Ageratina	1,131567,2759,33090,35493,131221,3193,58023,78536,58024,3398,1437183,71240,91827,1437201,71274,91882,4209,4210,102804,911341,102815,102749
102909	Colacium	genus	root,cellular organisms,Eukaryota,Discoba,Euglenozoa,Euglenida,Spirocuta,Euglenophyceae,Euglenales,Colacium	1,131567,2759,2611352,33682,3035,2570567,2704141,86650,102909
103711	Bostrychia	genus	root,cellular organisms,Eukaryota,Rhodophyta,Florideophyceae,Rhodymeniophycidae,Ceramiales,Rhodomelaceae,Bostrychia	1,131567,2759,2763,2806,2045261,2802,2803,103711
103719	Syngnathus	genus	root,cellular organisms,Eukaryota,Opisthokonta,Metazoa,Eumetazoa,Bilateria,Deuterostomia,Chordata,Craniata,Vertebrata,Gnathostomata,Teleostomi,Euteleostomi,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata,Acanthomorphata,Euacanthomorphacea,Percomorphaceae,Syngnathiaria,Syngnathiformes,Syngnathoidei,Syngnathidae,Syngnathinae,Syngnathus	1,131567,2759,33154,33208,6072,33213,33511,7711,89593,7742,7776,117570,117571,7898,186623,41665,32443,1489341,186625,1489388,123365,123366,123367,123368,123369,1489872,1489883,129912,1489884,72045,129914,103719
