"","pair1","Caribbean","Indian","IndoPacific"
"1","Indian",0.0210682118635412,NA,NA
"2","IndoPacific",0.983669093585661,0.0574374949861793,NA
"3","Pacific",0.988714830202179,0.0214427113777512,0.99986343224739
