"","pair1","Petrolisthes","Birgus","Tuerkayana","Gecarcoidea","Geograpsus"
"1","Birgus",0.999999643454972,NA,NA,NA,NA
"2","Tuerkayana",0.932871540217737,0.98247124967675,NA,NA,NA
"3","Gecarcoidea",0.388908986265725,0.611832839204728,0.883840727916349,NA,NA
"4","Geograpsus",0.00933665813134277,0.0160741236515639,0.0288313047982788,0.121071128061889,NA
"5","Ocypode",0.00933665813134277,0.0160741236515639,0.0288313047982788,0.121071128061889,1
