"","pair1","Petrolisthes","Birgus","Tuerkayana","Gecarcoidea","Geograpsus"
"1","Birgus",0.318104208005115,NA,NA,NA,NA
"2","Tuerkayana",0.0992161604748577,0.999877937174576,NA,NA,NA
"3","Gecarcoidea",0.94324564958146,0.910137918019398,0.748952364670102,NA,NA
"4","Geograpsus",0.365905966268171,0.068514988378125,0.0419778932149195,0.213411925247722,NA
"5","Ocypode",0.365905966268171,0.0685149883781253,0.0419778932149195,0.213411925247722,1
