"","pair1","Petrolisthes","Birgus","Tuerkayana","Gecarcoidea","Geograpsus"
"1","Birgus",0.999997694941081,NA,NA,NA,NA
"2","Tuerkayana",0.999623603380342,0.999991225780673,NA,NA,NA
"3","Gecarcoidea",0.999967201102319,0.999863292669578,0.998278408678029,NA,NA
"4","Geograpsus",0.165520080877644,0.226651924098278,0.22664294947499,0.176397512859228,NA
"5","Ocypode",0.165520080877643,0.226651924098277,0.22664294947499,0.176397512859228,1
