"","pair1","I","II","III","IV"
"1","II",0.746770814995621,NA,NA,NA
"2","III",0.608372670510479,0.132314849111306,NA,NA
"3","IV",0.641901446408406,0.999219147837835,0.108809129119601,NA
"4","V",0.438976789347012,0.0578952505773428,0.999999952341928,0.0510048277257229
