"","pair1","I","II","III","IV"
"1","II",0.999999610922629,NA,NA,NA
"2","III",0.127508937941585,0.190892351077136,NA,NA
"3","IV",0.958269737769538,0.972605475726448,0.560472107885928,NA
"4","V",0.00289184102221618,0.00930593673662239,0.856426055260198,0.0871985806042337
