"","pair1","Coenobitidae","Gecarcinidae","Grapsidae","Ocypodidae"
"1","Gecarcinidae",0.865810628231312,NA,NA,NA
"2","Grapsidae",0.118937541079907,0.030639080779459,NA,NA
"3","Ocypodidae",0.118937541079907,0.030639080779459,1,NA
"4","Porcellanidae",0.999954908186898,0.794239276075201,0.0807129924007657,0.0807129924007656
