"","pair1","Caribbean","Indian","IndoPacific"
"1","Indian",0.0173514316989191,NA,NA
"2","IndoPacific",0.720978251658302,0.250451086752254,NA
"3","Pacific",0.619753289042707,0.000101158473085339,0.109564583851679
