"","pair1","Coenobitidae","Gecarcinidae","Grapsidae","Ocypodidae"
"1","Gecarcinidae",0.738620471571747,NA,NA,NA
"2","Grapsidae",0.0244619211728071,0.00341175248423664,NA,NA
"3","Ocypodidae",0.0244619211728071,0.00341175248423664,1,NA
"4","Porcellanidae",0.169143704131783,0.000615325820833346,0.203801807164884,0.203801807164884
