TaxonomicLevel,Category,Taxon,chisq,pval,padj,DataSet
genus,Genus,Pyrenophora,6.32897727272729,0.275511010002892,1,Kraken - Fungi
genus,Genus,Talaromyces,12.7432765151515,0.0259070702159869,0.388606053239804,Kraken - Fungi
genus,Genus,Botryosphaeriales,11.5233901515151,0.041935418080592,0.62903127120888,Kraken - Fungi
genus,Genus,Trichoderma,7.17566287878788,0.207900420442531,1,Kraken - Fungi
genus,Genus,Trametes,21.2122159090909,0.000738578217816678,0.0110786732672502,Kraken - Fungi
genus,Genus,uncultured fungus,6.67111742424244,0.246270930484309,1,Kraken - Fungi
genus,Genus,Candida,13.7804924242424,0.0170655516280899,0.255983274421348,Kraken - Fungi
genus,Genus,Colletotrichum,3.49867424242424,0.623588241270205,1,Kraken - Fungi
genus,Genus,Torulaspora,18.5324810606061,0.00234802679342101,0.0352204019013151,Kraken - Fungi
genus,Genus,Aspergillus,12.1809659090909,0.0323905284263661,0.485857926395491,Kraken - Fungi
genus,Genus,Ustilago,4.60918560606061,0.4654089919413,1,Kraken - Fungi
genus,Genus,Rhizophagus,9.91429924242425,0.0777002787265474,1,Kraken - Fungi
genus,Genus,Fusarium,5.89583333333333,0.316487132839916,1,Kraken - Fungi
genus,Genus,Debaryomyces,6.39630681818181,0.26954308642225,1,Kraken - Fungi
genus,Genus,Saccharomyces,11.5089015151515,0.0421731449327882,0.632597173991823,Kraken - Fungi
genus,Diet_group,Pyrenophora,1.38505244755244,0.50031057480865,1,Kraken - Fungi
genus,Diet_group,Talaromyces,7.64612470862471,0.0218607529133674,0.327911293700511,Kraken - Fungi
genus,Diet_group,Botryosphaeriales,8.25568181818181,0.0161176407336053,0.24176461100408,Kraken - Fungi
genus,Diet_group,Trichoderma,2.81818181818181,0.244365332508901,1,Kraken - Fungi
genus,Diet_group,Trametes,15.5692016317016,0.000416093394932852,0.00624140092399278,Kraken - Fungi
genus,Diet_group,uncultured fungus,3.62645687645688,0.163126641482402,1,Kraken - Fungi
genus,Diet_group,Candida,10.0979020979021,0.00641606005062046,0.0962409007593069,Kraken - Fungi
genus,Diet_group,Colletotrichum,2.3291083916084,0.312061749464723,1,Kraken - Fungi
genus,Diet_group,Torulaspora,16.4376456876457,0.000269532159680716,0.00404298239521074,Kraken - Fungi
genus,Diet_group,Aspergillus,8.2558275058275,0.0161164667057999,0.241747000586999,Kraken - Fungi
genus,Diet_group,Ustilago,1.96212121212122,0.374913252641689,1,Kraken - Fungi
genus,Diet_group,Rhizophagus,2.13519813519812,0.343833047105914,1,Kraken - Fungi
genus,Diet_group,Fusarium,1.53540209790211,0.464078737181227,1,Kraken - Fungi
