Category	Function	Gene abbreviation	BLB.whokaryote.bac Function presence	BLBWG4.whokaryote.bac Function presence	BLR.whokaryote.bac Function presence	BLRWG4.whokaryote.bac Function presence	BLS.whokaryote.bac Function presence	DC06.whokaryote.bac Function presence	DC10.whokaryote.bac Function presence	DC11.whokaryote.bac Function presence	DC17.whokaryote.bac Function presence	DM13.whokaryote.bac Function presence	DM14.whokaryote.bac Function presence	DM15.whokaryote.bac Function presence	DM16.whokaryote.bac Function presence	GG01.whokaryote.bac Function presence	GH01.whokaryote.bac Function presence	GN13.whokaryote.bac Function presence	GN15.whokaryote.bac Function presence	GN18.whokaryote.bac Function presence	GN19.whokaryote.bac Function presence	Meg119.whokaryote.bac Function presence	Meg120.whokaryote.bac Function presence	Meg140.whokaryote.bac Function presence	Meg147.whokaryote.bac Function presence	Meg177.whokaryote.bac Function presence	Meg178.whokaryote.bac Function presence	Meg179.whokaryote.bac Function presence	Meg209.whokaryote.bac Function presence	Meg214.whokaryote.bac Function presence	Meg82.whokaryote.bac Function presence	Meg88.whokaryote.bac Function presence	Meg99.whokaryote.bac Function presence	OC01.whokaryote.bac Function presence
Nitrogen cycling	Nitric oxide reduction	norBC	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
Nitrogen cycling	Nitrous oxide reduction	nosDZ	Present	Absent	Present	Absent	Absent	Present	Present	Present	Present	Present	Present	Absent	Present	Absent	Present	Present	Present	Present	Present	Absent	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Absent	Present	Absent	Absent
Nitrogen cycling	Anammox	hzoA||hzsA	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
Sulfur cycling	Sulfide oxidation	fccB||sqr	Present	Absent	Present	Absent	Absent	Present	Present	Present	Present	Present	Present	Present	Present	Absent	Absent	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
Sulfur cycling	Sulfite reduction	dsrABD||asrABC	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Absent	Absent	Absent	Absent	Absent	Present	Absent	Absent	Absent	Present	Present	Absent	Present	Present	Absent	Absent	Absent	Absent
Sulfur cycling	Sulfur oxidation	sdo||sor	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	Absent	Absent	Present	Absent	Absent
Sulfur cycling	Sulfur reduction	sreABC||sor	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
Sulfur cycling	Thiosulfate oxidation	soxBCY	Present	Present	Present	Absent	Absent	Present	Absent	Present	Present	Present	Present	Present	Present	Absent	Absent	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
Sulfur cycling	Sulfate reduction	aprA||sat	Present	Present	Present	Present	Absent	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Absent	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
Sulfur cycling	Thiosulfate disproportionation	phsA	Absent	Present	Present	Present	Present	Absent	Present	Present	Present	Present	Present	Present	Present	Present	Absent	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
Hydrogenases	FeFe hydrogenase	fefe-group-a13	Absent	Present	Present	Present	Present	Present	Absent	Present	Present	Present	Present	Present	Present	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
Hydrogenases	FeFe hydrogenase	fefe-group-a2	Absent	Absent	Absent	Absent	Present	Absent	Absent	Present	Absent	Present	Present	Present	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
Hydrogenases	FeFe hydrogenase	fefe-group-a4	Absent	Absent	Present	Absent	Present	Present	Absent	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
