Category	Function	Gene abbreviation	Gene name	Hmm file	Corresponding KO	Reaction	Substrate	Product	Hmm detecting threshold	BLB.whokaryote.bac Hmm presence	BLB.whokaryote.bac Hit numbers	BLB.whokaryote.bac Hits	BLBWG4.whokaryote.bac Hmm presence	BLBWG4.whokaryote.bac Hit numbers	BLBWG4.whokaryote.bac Hits	BLR.whokaryote.bac Hmm presence	BLR.whokaryote.bac Hit numbers	BLR.whokaryote.bac Hits	BLRWG4.whokaryote.bac Hmm presence	BLRWG4.whokaryote.bac Hit numbers	BLRWG4.whokaryote.bac Hits	BLS.whokaryote.bac Hmm presence	BLS.whokaryote.bac Hit numbers	BLS.whokaryote.bac Hits	DC06.whokaryote.bac Hmm presence	DC06.whokaryote.bac Hit numbers	DC06.whokaryote.bac Hits	DC10.whokaryote.bac Hmm presence	DC10.whokaryote.bac Hit numbers	DC10.whokaryote.bac Hits	DC11.whokaryote.bac Hmm presence	DC11.whokaryote.bac Hit numbers	DC11.whokaryote.bac Hits	DC17.whokaryote.bac Hmm presence	DC17.whokaryote.bac Hit numbers	DC17.whokaryote.bac Hits	DM13.whokaryote.bac Hmm presence	DM13.whokaryote.bac Hit numbers	DM13.whokaryote.bac Hits	DM14.whokaryote.bac Hmm presence	DM14.whokaryote.bac Hit numbers	DM14.whokaryote.bac Hits	DM15.whokaryote.bac Hmm presence	DM15.whokaryote.bac Hit numbers	DM15.whokaryote.bac Hits	DM16.whokaryote.bac Hmm presence	DM16.whokaryote.bac Hit numbers	DM16.whokaryote.bac Hits	GG01.whokaryote.bac Hmm presence	GG01.whokaryote.bac Hit numbers	GG01.whokaryote.bac Hits	GH01.whokaryote.bac Hmm presence	GH01.whokaryote.bac Hit numbers	GH01.whokaryote.bac Hits	GN13.whokaryote.bac Hmm presence	GN13.whokaryote.bac Hit numbers	GN13.whokaryote.bac Hits	GN15.whokaryote.bac Hmm presence	GN15.whokaryote.bac Hit numbers	GN15.whokaryote.bac Hits	GN18.whokaryote.bac Hmm presence	GN18.whokaryote.bac Hit numbers	GN18.whokaryote.bac Hits	GN19.whokaryote.bac Hmm presence	GN19.whokaryote.bac Hit numbers	GN19.whokaryote.bac Hits	Meg119.whokaryote.bac Hmm presence	Meg119.whokaryote.bac Hit numbers	Meg119.whokaryote.bac Hits	Meg120.whokaryote.bac Hmm presence	Meg120.whokaryote.bac Hit numbers	Meg120.whokaryote.bac Hits	Meg140.whokaryote.bac Hmm presence	Meg140.whokaryote.bac Hit numbers	Meg140.whokaryote.bac Hits	Meg147.whokaryote.bac Hmm presence	Meg147.whokaryote.bac Hit numbers	Meg147.whokaryote.bac Hits	Meg177.whokaryote.bac Hmm presence	Meg177.whokaryote.bac Hit numbers	Meg177.whokaryote.bac Hits	Meg178.whokaryote.bac Hmm presence	Meg178.whokaryote.bac Hit numbers	Meg178.whokaryote.bac Hits	Meg179.whokaryote.bac Hmm presence	Meg179.whokaryote.bac Hit numbers	Meg179.whokaryote.bac Hits	Meg209.whokaryote.bac Hmm presence	Meg209.whokaryote.bac Hit numbers	Meg209.whokaryote.bac Hits	Meg214.whokaryote.bac Hmm presence	Meg214.whokaryote.bac Hit numbers	Meg214.whokaryote.bac Hits	Meg82.whokaryote.bac Hmm presence	Meg82.whokaryote.bac Hit numbers	Meg82.whokaryote.bac Hits	Meg88.whokaryote.bac Hmm presence	Meg88.whokaryote.bac Hit numbers	Meg88.whokaryote.bac Hits	Meg99.whokaryote.bac Hmm presence	Meg99.whokaryote.bac Hit numbers	Meg99.whokaryote.bac Hits	OC01.whokaryote.bac Hmm presence	OC01.whokaryote.bac Hit numbers	OC01.whokaryote.bac Hits
Thermophilic specific	Thermophilic specific	rgy	reverse gyrase	TIGR01054.hmm	K03170	Thermophilic specific	N/A	N/A	469.70|full	Absent	0	None	Absent	0	None	Absent	0	None	Absent	0	None	Absent	0	None	Absent	0	None	Absent	0	None	Absent	0	None	Absent	0	None	Absent	0	None	Absent	0	None	Absent	0	None	Absent	0	None	Absent	0	None	Absent	0	None	Absent	0	None	Absent	0	None	Absent	0	None	Absent	0	None	Absent	0	None	Absent	0	None	Absent	0	None	Absent	0	None	Absent	0	None	Absent	0	None	Absent	0	None	Absent	0	None	Absent	0	None	Absent	0	None	Absent	0	None	Absent	0	None	Absent	0	None
Amino acid utilization	4-aminobutyrate aminotransferase and related aminotransferases	4-aminobutyrate aminotransferase and related aminotransferases	4-aminobutyrate aminotransferase and related aminotransferases	K00823.hmm, K07250.hmm, K13524.hmm, K14268.hmm, K03918.hmm	K00823, K07250, K13524, K14268, K03918	4-aminobutanoate + 2-oxoglutarate = succinate semialdehyde + L-glutamate [RN:R01648]	4-aminobutanoate; 2-oxoglutarate	succinate semialdehyde; L-glutamate	609.33|domain, 639.10|domain, 436.80|full, 825.23|full, 369.10|full	Present	6	NODE_117_length_49312_cov_16.035371_5,NODE_34_length_137702_cov_13.665630_47,NODE_24_length_156266_cov_8.306125_92,NODE_15_length_211878_cov_8.212213_184;NODE_24_length_156266_cov_8.306125_92;None;None;NODE_3397_length_3353_cov_3.235745_1	Present	4	NODE_1003_length_10848_cov_6.306033_6,NODE_7200_length_2254_cov_2.164586_1,NODE_479_length_21583_cov_8.619161_13;NODE_479_length_21583_cov_8.619161_13;None;None;None	Present	1	NODE_5179_length_2883_cov_2.309814_2;None;None;None;None	Present	3	NODE_1870_length_5989_cov_3.521702_3,NODE_572_length_15171_cov_3.591180_3;NODE_572_length_15171_cov_3.591180_3;None;None;None	Absent	0	None;None;None;None;None	Present	9	NODE_26_length_228608_cov_16.733521_101,NODE_6_length_460605_cov_32.513333_304,NODE_604_length_39200_cov_8.732670_29,NODE_2800_length_10975_cov_2.857865_7,NODE_5163_length_6331_cov_4.537660_3,NODE_84_length_115663_cov_30.396082_83;NODE_2800_length_10975_cov_2.857865_7,NODE_5163_length_6331_cov_4.537660_3,NODE_26_length_228608_cov_16.733521_101;None;None;None	Present	10	NODE_2276_length_6274_cov_117.357755_5,NODE_9_length_307117_cov_228.945213_165,NODE_424_length_29818_cov_4.529620_21,NODE_959_length_15000_cov_3.637803_3,NODE_2733_length_5293_cov_3.119954_5,NODE_28_length_171941_cov_261.687827_92;NODE_2276_length_6274_cov_117.357755_5,NODE_424_length_29818_cov_4.529620_21,NODE_28_length_171941_cov_261.687827_92;None;NODE_506_length_25237_cov_16.767160_7;None	Present	11	NODE_32_length_239418_cov_65.948844_12,NODE_6794_length_7674_cov_4.232889_4,NODE_18397_length_3141_cov_3.098361_1,NODE_7094_length_7355_cov_2.738436_6,NODE_7087_length_7363_cov_5.431793_6,NODE_27_length_263081_cov_77.030294_216;NODE_1122_length_35175_cov_11.514451_6,NODE_27_length_263081_cov_77.030294_216,NODE_6794_length_7674_cov_4.232889_4;None;NODE_7087_length_7363_cov_5.431793_6;NODE_427_length_65504_cov_6.016403_46	Present	19	NODE_12_length_261814_cov_27.004757_101,NODE_4674_length_7788_cov_12.968689_5,NODE_183_length_79643_cov_26.280848_5,NODE_1100_length_26842_cov_6.003626_12,NODE_13087_length_3210_cov_2.042321_5,NODE_3835_length_9427_cov_3.565231_3,NODE_1364_length_22834_cov_7.610166_18,NODE_1592_length_20373_cov_8.002515_7,NODE_11886_length_3450_cov_3.255731_2,NODE_2315_length_14779_cov_4.444240_11;NODE_2503_length_13812_cov_6.726186_6,NODE_106_length_98124_cov_11.180052_87,NODE_11886_length_3450_cov_3.255731_2,NODE_4674_length_7788_cov_12.968689_5,NODE_1100_length_26842_cov_6.003626_12,NODE_183_length_79643_cov_26.280848_5;None;None;NODE_2312_length_14795_cov_3.476333_6,NODE_24801_length_2197_cov_2.356600_3,NODE_109_length_96682_cov_7.378389_32	Present	9	NODE_2781_length_7012_cov_3.618552_7,NODE_25880_length_1608_cov_2.299934_1,NODE_1132_length_14711_cov_11.601915_2,NODE_1988_length_9354_cov_2.997301_6,NODE_518_length_24060_cov_5.023614_19,NODE_1956_length_9480_cov_3.678880_3;NODE_518_length_24060_cov_5.023614_19,NODE_1132_length_14711_cov_11.601915_2,NODE_25880_length_1608_cov_2.299934_1;None;None;None	Present	23	NODE_5568_length_8485_cov_10.234811_8,NODE_3858_length_11423_cov_13.982351_9,NODE_1133_length_30224_cov_6.708658_21,NODE_19805_length_2931_cov_1.879930_2,NODE_2793_length_14876_cov_18.707947_17,NODE_660_length_42637_cov_14.996545_19,NODE_23673_length_2520_cov_2.430218_1,NODE_963_length_33566_cov_14.058910_17,NODE_2026_length_19301_cov_5.410984_4,NODE_406_length_57976_cov_15.743215_12,NODE_4529_length_10026_cov_5.903674_5;NODE_1299_length_27269_cov_6.539664_16,NODE_9200_length_5633_cov_3.383075_3,NODE_4597_length_9887_cov_3.032054_2,NODE_5568_length_8485_cov_10.234811_8,NODE_406_length_57976_cov_15.743215_12,NODE_2793_length_14876_cov_18.707947_17,NODE_1133_length_30224_cov_6.708658_21,NODE_19805_length_2931_cov_1.879930_2,NODE_2026_length_19301_cov_5.410984_4;None;None;NODE_44053_length_1545_cov_1.460798_1,NODE_11075_length_4822_cov_3.459522_2,NODE_2480_length_16360_cov_13.353494_2	Present	17	NODE_591_length_44986_cov_5.385856_29,NODE_2855_length_11349_cov_4.353971_6,NODE_18917_length_2398_cov_3.128305_1,NODE_105_length_140460_cov_34.236683_1,NODE_20413_length_2276_cov_1.915332_2,NODE_2698_length_11958_cov_6.652313_6,NODE_17388_length_2538_cov_2.342460_2,NODE_30401_length_1765_cov_1.461171_2,NODE_403_length_59458_cov_40.569104_12,NODE_2202_length_14614_cov_3.228121_3,NODE_1946_length_16350_cov_6.356295_6;NODE_15446_length_2757_cov_2.544261_2,NODE_442_length_55370_cov_6.630438_51,NODE_591_length_44986_cov_5.385856_29,NODE_403_length_59458_cov_40.569104_12,NODE_2855_length_11349_cov_4.353971_6;None;None;NODE_114_length_135776_cov_6.626009_44	Present	29	NODE_10683_length_5478_cov_5.521069_2,NODE_4015_length_11837_cov_14.445088_6,NODE_11812_length_5051_cov_3.000605_6,NODE_4248_length_11323_cov_20.317664_2,NODE_53_length_122373_cov_23.401163_108,NODE_14_length_207386_cov_14.416436_143,NODE_1215_length_27566_cov_7.363603_21,NODE_7530_length_7220_cov_3.388273_6,NODE_2098_length_18961_cov_4.098940_11,NODE_21488_length_3132_cov_3.167379_1,NODE_1_length_1656952_cov_26.237716_420,NODE_3244_length_13896_cov_23.062658_11,NODE_14988_length_4176_cov_3.519217_4,NODE_39940_length_1939_cov_2.004329_2,NODE_406_length_54744_cov_24.132747_23,NODE_1_length_1656952_cov_26.237716_1515,NODE_1780_length_21219_cov_3.946185_17;NODE_1431_length_24513_cov_6.301368_16,NODE_2825_length_15352_cov_4.616211_11,NODE_10683_length_5478_cov_5.521069_2,NODE_11812_length_5051_cov_3.000605_6,NODE_3244_length_13896_cov_23.062658_11,NODE_53_length_122373_cov_23.401163_108,NODE_406_length_54744_cov_24.132747_23,NODE_14_length_207386_cov_14.416436_143;None;None;NODE_3221_length_13970_cov_4.367245_13,NODE_671_length_40938_cov_14.287879_16,NODE_2305_length_17653_cov_6.182439_13,NODE_6607_length_8004_cov_3.485025_3	Present	2	NODE_10646_length_1763_cov_1.668660_1;None;None;None;NODE_26283_length_1080_cov_1.528817_2	Present	10	NODE_334_length_27859_cov_17.920592_18,NODE_89_length_56414_cov_6.373879_30,NODE_769_length_13972_cov_12.908364_3,NODE_5162_length_3431_cov_7.428443_2,NODE_31_length_92364_cov_5.368580_55,NODE_1_length_352255_cov_261.535753_62;NODE_5162_length_3431_cov_7.428443_2,NODE_334_length_27859_cov_17.920592_18;None;NODE_1_length_352255_cov_261.535753_62;NODE_288_length_31169_cov_9.985842_23	Present	5	NODE_22_length_66885_cov_10.420741_64,NODE_31000_length_2245_cov_2.386722_2;NODE_31000_length_2245_cov_2.386722_2,NODE_22_length_66885_cov_10.420741_64;None;NODE_22_length_66885_cov_10.420741_64;None	Present	13	NODE_690_length_17570_cov_4.907775_20,NODE_26_length_180932_cov_17.292273_2,NODE_12_length_313044_cov_17.114781_150,NODE_34_length_162901_cov_23.442454_45,NODE_13_length_312465_cov_148.493665_135,NODE_620_length_19585_cov_3.369293_21;NODE_26_length_180932_cov_17.292273_2,NODE_620_length_19585_cov_3.369293_21,NODE_690_length_17570_cov_4.907775_20,NODE_13_length_312465_cov_148.493665_135;None;NODE_13_length_312465_cov_148.493665_135,NODE_108_length_69868_cov_5.387936_58;NODE_3008_length_4937_cov_3.392901_5	Present	17	NODE_120_length_75736_cov_34.867116_31,NODE_6584_length_5056_cov_3.493051_5,NODE_46_length_116739_cov_29.156016_5,NODE_256_length_49799_cov_6.030156_20,NODE_1_length_354686_cov_35.289217_229;NODE_1147_length_17028_cov_7.232981_9,NODE_683_length_24722_cov_4.243677_16,NODE_145_length_69934_cov_8.830563_22,NODE_17472_length_2584_cov_4.048937_2,NODE_16686_length_2659_cov_2.151869_3,NODE_851_length_21342_cov_3.771211_18,NODE_3054_length_8511_cov_4.504157_5,NODE_120_length_75736_cov_34.867116_31,NODE_1_length_354686_cov_35.289217_229,NODE_6584_length_5056_cov_3.493051_5;None;NODE_1_length_354686_cov_35.289217_229;NODE_28_length_131510_cov_41.846651_38	Present	24	NODE_848_length_26784_cov_46.057243_1,NODE_747_length_29857_cov_332.809481_32,NODE_1352_length_18989_cov_5.011324_4,NODE_772_length_29069_cov_11.026158_8,NODE_27796_length_1862_cov_2.211180_1,NODE_298_length_51637_cov_13.951034_33,NODE_4820_length_6520_cov_3.862965_1,NODE_47_length_116736_cov_311.718976_98,NODE_12053_length_3318_cov_1.946700_3;NODE_302_length_51356_cov_7.671140_33,NODE_875_length_26249_cov_14.983944_20,NODE_9590_length_3912_cov_3.795603_3,NODE_35_length_138063_cov_14.396950_111,NODE_6516_length_5165_cov_2.045132_3,NODE_1197_length_20999_cov_5.461737_6,NODE_81_length_95073_cov_8.461519_79,NODE_27796_length_1862_cov_2.211180_1,NODE_2764_length_10158_cov_3.759511_6,NODE_1352_length_18989_cov_5.011324_4,NODE_848_length_26784_cov_46.057243_1,NODE_747_length_29857_cov_332.809481_32,NODE_772_length_29069_cov_11.026158_8;None;None;NODE_4_length_296530_cov_31.122885_39,NODE_54890_length_1208_cov_1.468218_1	Absent	0	None;None;None;None;None	Absent	0	None;None;None;None;None	Absent	0	None;None;None;None;None	Absent	0	None;None;None;None;None	Absent	0	None;None;None;None;None	Absent	0	None;None;None;None;None	Present	1	NODE_1850_length_8874_cov_3.259137_9;None;None;None;None	Absent	0	None;None;None;None;None	Absent	0	None;None;None;None;None	Absent	0	None;None;None;None;None	Present	1	NODE_34_length_44927_cov_5.652422_23;None;None;None;None	Absent	0	None;None;None;None;None	Absent	0	None;None;None;None;None
Amino acid utilization	Aminotransferase class I and II	aminotransferase class I and II	aminotransferase class I and II	K05825.hmm	K05825	L-2-aminoadipate + 2-oxoglutarate = 2-oxoadipate + L-glutamate [RN:R01939]	L-2-aminoadipate; 2-oxoglutarate	2-oxoadipate; L-glutamate	392.87|domain	Present	2	NODE_224_length_24513_cov_3.986897_25,NODE_472_length_11567_cov_4.066225_4	Present	3	NODE_1599_length_6978_cov_4.037462_4,NODE_257_length_34841_cov_13.345986_23,NODE_9327_length_1910_cov_2.038483_2	Present	10	NODE_220_length_36941_cov_6.409715_5,NODE_1_length_445588_cov_23.426007_73,NODE_158_length_46416_cov_5.723281_37,NODE_151_length_48567_cov_9.063619_26,NODE_557_length_15712_cov_4.423276_7,NODE_4028_length_3373_cov_3.862888_1,NODE_1711_length_6303_cov_3.018674_3,NODE_24272_length_1275_cov_1.884291_1,NODE_10_length_198177_cov_27.888362_2,NODE_8162_length_2183_cov_2.040153_2	Absent	0	None	Present	1	NODE_3911_length_3369_cov_2.913972_2	Present	17	NODE_131278_length_1266_cov_1.176170_1,NODE_1954_length_15285_cov_11.159273_17,NODE_16_length_284271_cov_15.261788_248,NODE_417_length_50178_cov_6.245593_11,NODE_797_length_32142_cov_4.994509_11,NODE_2518_length_12132_cov_8.051408_2,NODE_417_length_50178_cov_6.245593_10,NODE_19914_length_2718_cov_3.138561_2,NODE_138_length_86944_cov_8.238345_65,NODE_8_length_432200_cov_15.256819_296,NODE_71294_length_1634_cov_6.209332_1,NODE_3514_length_8924_cov_8.651760_4,NODE_18189_length_2834_cov_1.998906_1,NODE_107568_length_1383_cov_1.527090_2,NODE_2117_length_14136_cov_3.721538_3,NODE_47028_length_1924_cov_1.656301_2,NODE_88141_length_1502_cov_2.413182_1	Present	10	NODE_568_length_23212_cov_5.166429_7,NODE_1167_length_12362_cov_3.589520_5,NODE_252_length_44200_cov_29.756036_45,NODE_573_length_23029_cov_92.291569_15,NODE_750_length_18475_cov_82.019256_15,NODE_5147_length_2999_cov_63.220770_4,NODE_30_length_159680_cov_13.453515_2,NODE_14269_length_1482_cov_1.044572_1,NODE_3019_length_4833_cov_4.601434_4,NODE_4105_length_3663_cov_3.048712_3	Present	21	NODE_10339_length_5189_cov_3.176344_3,NODE_5650_length_9075_cov_4.125000_9,NODE_50496_length_1516_cov_2.568421_2,NODE_14518_length_3842_cov_3.015196_3,NODE_6961_length_7498_cov_2.950722_5,NODE_5757_length_8940_cov_3.632953_7,NODE_84_length_151213_cov_13.825915_85,NODE_3409_length_14673_cov_3.752777_7,NODE_84_length_151213_cov_13.825915_84,NODE_54_length_181499_cov_14.670395_78,NODE_41293_length_1732_cov_1.531993_2,NODE_38_length_213669_cov_7.545693_195,NODE_11328_length_4767_cov_7.874679_4,NODE_4203_length_12108_cov_6.394524_6,NODE_25840_length_2411_cov_2.094397_3,NODE_4283_length_11876_cov_4.284175_6,NODE_56_length_177118_cov_7.336711_53,NODE_116_length_127903_cov_6.618033_52,NODE_2280_length_20717_cov_5.476098_15,NODE_5504_length_9286_cov_3.633061_7,NODE_3361_length_14871_cov_4.252774_7	Present	17	NODE_11525_length_3534_cov_3.064769_4,NODE_14284_length_3021_cov_4.083618_2,NODE_4245_length_8581_cov_2.971496_2,NODE_3368_length_10625_cov_4.733719_4,NODE_3360_length_10649_cov_3.529267_3,NODE_4245_length_8581_cov_2.971496_1,NODE_22_length_208849_cov_6.444409_82,NODE_6_length_548500_cov_22.645728_221,NODE_20948_length_2400_cov_2.509311_2,NODE_1760_length_18812_cov_35.848726_19,NODE_32160_length_1938_cov_1.714672_1,NODE_613_length_41035_cov_12.427511_2,NODE_7108_length_5313_cov_7.673497_3,NODE_54838_length_1547_cov_1.865385_1,NODE_542_length_44176_cov_16.521379_7,NODE_666_length_38710_cov_7.273337_15,NODE_4959_length_7351_cov_3.994077_5	Present	3	NODE_22826_length_1697_cov_2.892902_1,NODE_29_length_83845_cov_4.601547_19,NODE_20457_length_1786_cov_1.669617_1	Present	22	NODE_12692_length_4292_cov_3.473697_2,NODE_9663_length_5419_cov_3.830893_4,NODE_14038_length_3934_cov_2.909186_3,NODE_6054_length_7910_cov_3.190561_2,NODE_719_length_40689_cov_6.666437_12,NODE_11779_length_4583_cov_2.468166_3,NODE_2592_length_15778_cov_3.642252_4,NODE_101_length_122760_cov_8.462350_58,NODE_10_length_379610_cov_8.692171_317,NODE_2665_length_15469_cov_4.431330_6,NODE_711_length_40888_cov_4.094076_8,NODE_2665_length_15469_cov_4.431330_7,NODE_21678_length_2715_cov_12.824695_2,NODE_5517_length_8539_cov_3.814631_5,NODE_6915_length_7110_cov_2.682006_6,NODE_10020_length_5244_cov_2.810014_5,NODE_16699_length_3385_cov_4.716758_1,NODE_227_length_81749_cov_5.168104_47,NODE_1584_length_23356_cov_4.681926_12,NODE_18946_length_3049_cov_2.096687_1,NODE_183_length_92269_cov_7.011955_62,NODE_3072_length_13735_cov_5.540237_6	Present	12	NODE_210_length_94139_cov_6.882921_38,NODE_7_length_541302_cov_10.660031_433,NODE_4738_length_7262_cov_3.547065_5,NODE_23_length_328519_cov_38.843092_82,NODE_4822_length_7149_cov_4.036129_6,NODE_609_length_44274_cov_6.544915_17,NODE_8458_length_4413_cov_3.819297_4,NODE_6_length_599018_cov_41.801978_225,NODE_2676_length_12048_cov_10.071255_3,NODE_26888_length_1909_cov_1.993949_2,NODE_1367_length_22193_cov_5.821781_4,NODE_4297_length_7909_cov_4.657329_2	Present	34	NODE_729_length_38551_cov_8.976287_27,NODE_24968_length_2784_cov_1.443743_2,NODE_17670_length_3660_cov_3.127487_3,NODE_4170_length_11498_cov_3.961866_7,NODE_6930_length_7723_cov_2.431080_9,NODE_3803_length_12360_cov_5.709756_14,NODE_2385_length_17239_cov_3.560065_17,NODE_6093_length_8532_cov_4.161829_1,NODE_2032_length_19342_cov_6.028518_3,NODE_226_length_73068_cov_5.067103_33,NODE_11756_length_5075_cov_2.896067_5,NODE_60874_length_1416_cov_1.915472_1,NODE_226_length_73068_cov_5.067103_32,NODE_909_length_33419_cov_4.883281_16,NODE_284_length_65295_cov_9.908595_32,NODE_6355_length_8247_cov_3.509564_2,NODE_46720_length_1722_cov_1.244635_1,NODE_3970_length_11923_cov_3.583418_4,NODE_1409_length_24814_cov_3.844275_13,NODE_5580_length_9098_cov_3.617964_6,NODE_1420_length_24669_cov_19.638579_2,NODE_32658_length_2258_cov_1.534841_3,NODE_38128_length_2007_cov_1.655532_1,NODE_32141_length_2288_cov_1.529358_2,NODE_18160_length_3582_cov_3.555428_4,NODE_2_length_1068150_cov_26.395188_857,NODE_69442_length_1286_cov_1.290377_2,NODE_15910_length_3984_cov_5.709992_2,NODE_20366_length_3265_cov_2.563642_2,NODE_47058_length_1712_cov_2.237508_2,NODE_14_length_207386_cov_14.416436_109,NODE_10_length_251916_cov_14.599130_132,NODE_16311_length_3898_cov_2.133701_4,NODE_22459_length_3027_cov_1.778610_3	Present	3	NODE_1170_length_7372_cov_3.538937_10,NODE_30_length_119798_cov_13.926629_24,NODE_21328_length_1203_cov_1.908273_2	Present	5	NODE_23_length_98961_cov_7.144382_20,NODE_2_length_341339_cov_241.901192_113,NODE_4565_length_3619_cov_3.815193_2,NODE_45492_length_1710_cov_1.415071_3,NODE_41_length_83517_cov_20.229557_9	Present	2	NODE_303_length_13933_cov_4.340197_8,NODE_1_length_405507_cov_9.183461_149	Present	5	NODE_1_length_1173307_cov_67.959132_839,NODE_10098_length_1923_cov_2.623362_1,NODE_142_length_57649_cov_28.830970_9,NODE_14_length_311827_cov_136.655722_61,NODE_1160_length_10995_cov_5.709648_3	Present	18	NODE_299_length_45566_cov_6.535437_20,NODE_1303_length_15492_cov_4.944549_4,NODE_3834_length_7364_cov_6.433109_9,NODE_9005_length_4067_cov_3.820171_4,NODE_37256_length_1663_cov_2.713104_2,NODE_176_length_63024_cov_38.355140_47,NODE_1490_length_14090_cov_5.606472_7,NODE_4791_length_6338_cov_4.507604_1,NODE_11865_length_3350_cov_2.114759_2,NODE_20653_length_2324_cov_2.799821_3,NODE_44250_length_1523_cov_0.974162_2,NODE_36586_length_1679_cov_2.035894_1,NODE_6_length_225212_cov_29.719280_58,NODE_16552_length_2675_cov_1.898607_2,NODE_371_length_39188_cov_4.656930_24,NODE_9139_length_4023_cov_2.609868_2,NODE_662_length_25377_cov_18.518311_15,NODE_13282_length_3096_cov_7.667887_2	Present	21	NODE_435_length_42620_cov_8.187307_19,NODE_1202_length_20925_cov_4.627868_13,NODE_174_length_70502_cov_9.758788_42,NODE_13_length_198953_cov_356.252446_143,NODE_11043_length_3531_cov_2.129651_4,NODE_1348_length_19008_cov_4.818206_3,NODE_9361_length_3977_cov_3.305970_3,NODE_5820_length_5636_cov_5.258070_3,NODE_925_length_25280_cov_10.128548_21,NODE_2323_length_11847_cov_6.192157_6,NODE_16472_length_2665_cov_2.797980_2,NODE_9645_length_3897_cov_2.977404_1,NODE_18320_length_2475_cov_2.718121_1,NODE_13118_length_3119_cov_3.002312_2,NODE_2623_length_10562_cov_2.684557_2,NODE_1908_length_14249_cov_3.956562_11,NODE_6850_length_4964_cov_2.852247_2,NODE_7939_length_4453_cov_4.811325_2,NODE_471_length_40605_cov_4.684603_8,NODE_115_length_82839_cov_48.429871_9,NODE_51956_length_1249_cov_3.139033_1	Absent	0	None	Absent	0	None	Absent	0	None	Absent	0	None	Present	2	NODE_96_length_26379_cov_4.031573_24,NODE_132331_length_1383_cov_1.147059_2	Absent	0	None	Absent	0	None	Absent	0	None	Present	1	NODE_8_length_156513_cov_6.352348_93	Absent	0	None	Absent	0	None	Absent	0	None	Absent	0	None
